日期,有效股票數,創新高股票數,創新高比例(%),大盤指數
2026-04-01,1929,26,1.35,
2026-04-02,1929,43,2.23,32572.43
2026-04-07,1930,47,2.44,33229.82
2026-04-08,1930,86,4.46,34761.38
2026-04-09,1930,99,5.13,34861.16
2026-04-10,1837,117,6.37,35417.83
2026-04-13,1340,78,5.82,35457.29
2026-04-14,1422,95,6.68,36296.12
2026-04-15,1499,97,6.47,36722.14
2026-04-16,1320,90,6.82,37132.02
2026-04-17,1503,119,7.92,36804.34
2026-04-20,1376,137,9.96,36958.8
2026-04-21,1350,115,8.52,37605.11
2026-04-22,1526,142,9.31,37878.47
2026-04-23,1370,113,8.25,37714.15
2026-04-24,1434,50,3.49,38932.4
2026-04-27,1933,68,3.52,39616.63
2026-04-28,1443,28,1.94,39521.73
2026-04-29,1344,34,2.53,39303.5
2026-04-30,1517,50,3.3,38926.63
2026-05-01,1398,52,3.72,38926.63
2026-05-04,1349,66,4.89,40705.14
2026-05-05,1343,83,6.18,40769.29
2026-05-06,1320,87,6.59,41138.85
2026-05-07,1461,81,5.54,41933.78
2026-05-08,1344,88,6.55,41603.94
2026-05-11,1507,88,5.84,41790.06
2026-05-12,1389,93,6.7,41898.32
2026-05-13,1462,69,4.72,41374.5
2026-05-14,1449,89,6.14,41751.75
2026-05-15,1465,62,4.23,41172.36
2026-05-18,1707,50,2.93,40891.82
2026-05-19,1321,47,3.56,40175.56
2026-05-20,1708,54,3.16,40020.82
2026-05-21,1554,81,5.21,41368.21
2026-05-22,1386,95,6.85,42267.97
2026-05-25,1481,174,11.75,43644.4
2026-05-28,1361,92,6.76,43636.44
2026-05-29,1353,89,6.58,44732.94
2026-06-01,1947,161,8.27,45337.91
2026-06-02,1325,76,5.74,45557.31
2026-06-03,1371,100,7.29,46459.16
2026-06-04,1520,88,5.79,45677.46
2026-06-05,1537,59,3.84,45070.94
2026-06-08,1368,26,1.9,43502.78
2026-06-09,1364,56,4.11,44704.44
2026-06-10,1528,74,4.84,43225.54
2026-06-11,1451,39,2.69,43149.46
